IDs_interactor_A	IDs_interactor_B	interactor_IDs_databases_A	interactor_IDs_databases_B	Taxid_interactor_A	Taxid_interactor_B	Publication_Identifiers	Confidence_values	Host_organisms	bait_prey_status_A	bait_prey_status_B	Interaction_detection_methods	Interaction_types	Interaction_identifiers	Expansion_methods	Features_interactor_A	Features_interactor_B	Identification_method_participant_A	Identification_method_participant_B	binding_region_A_start	binding_region_A_end	binding_region_B_start	binding_region_B_end	binding_region_A_type	binding_region_B_type	pair_id
O00459	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12613|virhostnet-nrid:11640	-	-	-	-	-							O00459|P10191
O14770	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12612|virhostnet-nrid:11639	-	-	-	-	-							O14770|P10191
O14770	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0096(pull down)	psi-mi:MI:0915(physical association)	virhostnet-rid:12675|virhostnet-nrid:11639	-	-	-	-	-							O14770|P10191
O14964	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12641|virhostnet-nrid:11668	-	-	-	-	-							O14964|P10191
O60341	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12530|virhostnet-nrid:11557	-	-	-	-	-							O60341|P10191
P02511	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12640|virhostnet-nrid:11667	-	-	-	-	-							P02511|P10191
P04259	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12531|virhostnet-nrid:11558	-	-	-	-	-							P04259|P10191
P04259	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0096(pull down)	psi-mi:MI:0915(physical association)	virhostnet-rid:12674|virhostnet-nrid:11558	-	-	-	-	-							P04259|P10191
P07339	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12610|virhostnet-nrid:11637	-	-	-	-	-							P07339|P10191
P07339	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0096(pull down)	psi-mi:MI:0915(physical association)	virhostnet-rid:12666|virhostnet-nrid:11637	-	-	-	-	-							P07339|P10191
P09914	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12578|virhostnet-nrid:11605	-	-	-	-	-							P09914|P10191
P10398	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12522|virhostnet-nrid:11549	-	-	-	-	-							P10191|P10398
P19419	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12630|virhostnet-nrid:11657	-	-	-	-	-							P10191|P19419
P25101	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12525|virhostnet-nrid:11552	-	-	-	-	-							P10191|P25101
P29992	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12528|virhostnet-nrid:11555	-	-	-	-	-							P10191|P29992
P34903	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12527|virhostnet-nrid:11554	-	-	-	-	-							P10191|P34903
P48454	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12614|virhostnet-nrid:11641	-	-	-	-	-							P10191|P48454
P48454	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0096(pull down)	psi-mi:MI:0915(physical association)	virhostnet-rid:12681|virhostnet-nrid:11641	-	-	-	-	-							P10191|P48454
Q01081	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12534|virhostnet-nrid:11561	-	-	-	-	-							P10191|Q01081
Q01850	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12417|virhostnet-nrid:11444	-	-	-	-	-							P10191|Q01850
Q01850	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0096(pull down)	psi-mi:MI:0915(physical association)	virhostnet-rid:12665|virhostnet-nrid:11444	-	-	-	-	-							P10191|Q01850
Q5T7M9	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12526|virhostnet-nrid:11553	-	-	-	-	-							P10191|Q5T7M9
Q68DY1	P10191	uniprotkb	uniprotkb	9606	10299	23950709		-	-	-	psi-mi:MI:0018(two hybrid)	psi-mi:MI:0915(physical association)	virhostnet-rid:12535|virhostnet-nrid:11562	-	-	-	-	-							P10191|Q68DY1
